"EMPLOYEE_ID,""FIRST_NAME"",""LAST_NAME"",""SALARY"",""DEPARTMENT_NAME"",""JOB_TITLE"""
"100,""Steven"",""King"",24000,""Executive"",""President"""
"102,""Lex"",""Garcia"",17000,""Executive"",""Administration Vice President"""
"101,""Neena"",""Yang"",17000,""Executive"",""Administration Vice President"""
"145,""John"",""Singh"",14000,""Sales"",""Sales Manager"""
"146,""Karen"",""Partners"",13500,""Sales"",""Sales Manager"""
"201,""Michael"",""Martinez"",13000,""Marketing"",""Marketing Manager"""
"205,""Shelley"",""Higgins"",12008,""Accounting"",""Accounting Manager"""
"108,""Nancy"",""Gruenberg"",12008,""Finance"",""Finance Manager"""
"147,""Alberto"",""Errazuriz"",12000,""Sales"",""Sales Manager"""
"168,""Lisa"",""Ozer"",11500,""Sales"",""Sales Representative"""
"114,""Den"",""Li"",11000,""Purchasing"",""Purchasing Manager"""
"148,""Gerald"",""Cambrault"",11000,""Sales"",""Sales Manager"""
"174,""Ellen"",""Abel"",11000,""Sales"",""Sales Representative"""
"149,""Eleni"",""Zlotkey"",10500,""Sales"",""Sales Manager"""
"162,""Clara"",""Vishney"",10500,""Sales"",""Sales Representative"""
"156,""Janette"",""King"",10000,""Sales"",""Sales Representative"""
"169,""Harrison"",""Bloom"",10000,""Sales"",""Sales Representative"""
"150,""Sean"",""Tucker"",10000,""Sales"",""Sales Representative"""
"204,""Hermann"",""Brown"",10000,""Public Relations"",""Public Relations Representative"""
"170,""Tayler"",""Fox"",9600,""Sales"",""Sales Representative"""
"151,""David"",""Bernstein"",9500,""Sales"",""Sales Representative"""
"163,""Danielle"",""Greene"",9500,""Sales"",""Sales Representative"""
"157,""Patrick"",""Sully"",9500,""Sales"",""Sales Representative"""
"158,""Allan"",""McEwen"",9000,""Sales"",""Sales Representative"""
"109,""Daniel"",""Faviet"",9000,""Finance"",""Accountant"""
"103,""Alexander"",""James"",9000,""IT"",""Programmer"""
"152,""Peter"",""Hall"",9000,""Sales"",""Sales Representative"""
"175,""Alyssa"",""Hutton"",8800,""Sales"",""Sales Representative"""
"176,""Jonathon"",""Taylor"",8600,""Sales"",""Sales Representative"""
"177,""Jack"",""Livingston"",8400,""Sales"",""Sales Representative"""
"206,""William"",""Gietz"",8300,""Accounting"",""Public Accountant"""
"121,""Adam"",""Fripp"",8200,""Shipping"",""Stock Manager"""
"110,""John"",""Chen"",8200,""Finance"",""Accountant"""
"120,""Matthew"",""Weiss"",8000,""Shipping"",""Stock Manager"""
"159,""Lindsey"",""Smith"",8000,""Sales"",""Sales Representative"""
"153,""Christopher"",""Olsen"",8000,""Sales"",""Sales Representative"""
"122,""Payam"",""Kaufling"",7900,""Shipping"",""Stock Manager"""
"112,""Jose Manuel"",""Urman"",7800,""Finance"",""Accountant"""
"111,""Ismael"",""Sciarra"",7700,""Finance"",""Accountant"""
"154,""Nanette"",""Cambrault"",7500,""Sales"",""Sales Representative"""
"160,""Louise"",""Doran"",7500,""Sales"",""Sales Representative"""
"171,""William"",""Smith"",7400,""Sales"",""Sales Representative"""
"172,""Elizabeth"",""Bates"",7300,""Sales"",""Sales Representative"""
"164,""Mattea"",""Marvins"",7200,""Sales"",""Sales Representative"""
"178,""Kimberely"",""Grant"",7000,,""Sales Representative"""
"155,""Oliver"",""Tuvault"",7000,""Sales"",""Sales Representative"""
"161,""Sarath"",""Sewall"",7000,""Sales"",""Sales Representative"""
"113,""Luis"",""Popp"",6900,""Finance"",""Accountant"""
"165,""David"",""Lee"",6800,""Sales"",""Sales Representative"""
"203,""Susan"",""Jacobs"",6500,""Human Resources"",""Human Resources Representative"""
"123,""Shanta"",""Vollman"",6500,""Shipping"",""Stock Manager"""
"166,""Sundar"",""Ande"",6400,""Sales"",""Sales Representative"""
"167,""Amit"",""Banda"",6200,""Sales"",""Sales Representative"""
"179,""Charles"",""Johnson"",6200,""Sales"",""Sales Representative"""
"173,""Sundita"",""Kumar"",6100,""Sales"",""Sales Representative"""
"202,""Pat"",""Davis"",6000,""Marketing"",""Marketing Representative"""
"104,""Bruce"",""Miller"",6000,""IT"",""Programmer"""
"124,""Kevin"",""Mourgos"",5800,""Shipping"",""Stock Manager"""
